tick,agent_id,x,y,color
4,185,13.9049,-7.84647,7
4,125,-2,-13,5
4,81,8.96767,16.5234,3
4,9,12,9,3
4,49,12.0201,10.5009,3
4,393,12.9005,15.5211,3
4,293,17,19,3
4,273,13,11,3
4,389,-13.0313,-1.20638,2
4,213,3,4,7
4,217,13,7,3
4,297,16,-2,0
4,33,-49,-1,4
4,385,17,-19,5
4,121,14.8898,-10.429,7
4,41,14,-13,0
4,221,-14,-15,5
4,177,21,11,3
4,53,-7,10,1
4,113,12,8,3
4,205,13,11,3
4,105,13,9,3
4,269,-14,12,4
4,193,10,5,3
4,313,-12,13,1
4,433,12,19,3
4,201,12.9728,16.002,3
4,325,16,-1,7
4,257,3.1832,-1.05602,7
4,73,11.8485,10.9074,3
4,361,-13.023,-1.07489,2
4,17,-6.90103,11.7833,1
4,169,13,-2,7
4,329,3.81443,-22.6785,5
4,341,11,-20,5
4,381,8.15096,-3.01364,7
4,413,0,-11,5
4,61,-4,2,7
4,445,12,17,3
4,369,-3.19973,-16.8665,5
4,141,-3,-14,5
4,69,11.9702,8.72896,3
4,189,12,10,3
4,93,13,-13,5
4,285,5,-13,5
4,409,4,14,6
4,317,7.5987,-1.64051,7
4,5,3,-17,5
5,429,12.6189,-15.0377,5
5,325,16,-1,7
5,353,0.0882012,-0.274835,7
5,229,-7,-7,2
5,141,-3,-14,5
5,125,-2,-13,5
5,133,11.5944,8.50737,3
5,109,13,-1,7
5,81,10.2578,15.6943,3
5,273,13,11,3
5,21,12,8,3
5,265,13,10,3
5,185,12.2179,-7.71623,7
5,257,3.28255,-1.07213,7
5,253,9.92991,-7.11519,7
5,409,4.35109,14.8809,6
5,177,21,11,3
5,117,17,-13,5
5,5,3,-17,5
5,425,12,-11,7
5,161,4,4,7
5,157,6,-14,5
5,169,13,-2,7
5,245,0,-19,5
5,413,0,-11,5
5,305,-1,-2,7
5,129,-17,12,4
5,269,-14,12,4
5,357,-8.72674,7.91616,1
5,145,12,8,3
5,201,12.9693,16.0026,3
5,113,12,8,3
5,165,6.98884,-24.797,5
5,329,3.39509,-22.1211,5
5,89,11,9,3
5,225,12,8,3
5,373,3,-6,7
5,25,7.90519,4.25323,7
5,189,12,10,3
5,317,7.51776,-1.88549,7
5,13,11,6,3
5,421,6.21709,-1.36583,7
5,297,16,-2,0
5,261,10.517,-13.7058,5
5,369,-2.67558,-16.8292,5
5,437,17,1,3
5,289,-4,-9,7
5,61,-4,2,7
5,217,13,7,3
5,97,-7,-10,2
5,333,4.8888,15.4135,6
5,33,-49,-1,4
5,381,7.54345,-1.8964,7
5,93,13,-13,5
5,405,3.47599,1.50362,7
5,181,2,-1,7
5,193,10,5,3
5,385,17,-19,5
5,345,-4,2,7
5,377,-20,0,2
5,349,10,10,3
5,49,11.5396,10.798,3
5,121,13.946,-8.84902,7
5,65,13,0,7
5,9,12,9,3
5,337,12.9729,16.0117,3
5,73,12.0192,10.8906,3
5,29,-24.9297,0.272612,2
5,277,-4,-14,5
5,101,13,11,3
5,149,11,-11,7
5,137,14,-13,0
5,209,8,16,3
5,197,7,5,7
5,417,10,4,7
5,281,11,9,3
5,221,-14,-15,5
5,393,12.7481,15.6237,3
5,173,13,3,0
5,69,11.2861,10.4587,3
5,205,13,11,3
5,1,10.4255,6.5964,3
5,153,4,14,6
5,313,-12,13,1
5,45,-27,-8,2
5,213,3,4,7
5,441,8,-24,5
5,53,-7.24583,10.0844,1
5,365,-18.4217,-1.11673,2
5,285,5,-13,5
5,389,-13.0313,-1.20638,2
5,233,12,4,3
5,397,-10.5691,-1.01248,2
5,241,-7.10541,-18.5195,5
5,37,11.7463,7.73746,3
5,85,9,5,7
5,341,11,-20,5
5,301,11.9863,15.8982,3
5,77,13.937,6.71587,3
5,401,3.36922,-2.1116,7
5,249,0.977926,-0.503453,7
5,57,9.87307,-10.587,7
5,41,12.3022,-13.2113,5
5,17,-6.90103,11.7833,1
5,237,12,2,7
5,321,3.72626,-2.14041,7
5,105,12.4813,9.19048,3
5,361,-12.9645,-1.14616,2
5,309,-10,-10,2
5,293,17,19,3
5,433,12,19,3
5,445,12,17,3
6,121,12.4656,-7.5248,7
6,217,13,7,3
6,385,17,-19,5
6,153,4,14,6
6,277,-4,-14,5
6,73,11.6806,11.051,3
6,149,11,-11,7
6,125,-2,-13,5
6,133,11.9554,10.4745,3
6,441,8,-24,5
6,9,12,9,3
6,105,11.9077,10.8042,3
6,445,12,17,3
6,237,12,2,7
6,129,-17,12,4
6,197,7,5,7
6,225,12,8,3
6,41,10.7722,-14.4975,5
6,373,3,-6,7
6,157,6,-14,5
6,117,17,-13,5
6,69,10.6705,9.72643,3
6,313,-12,13,1
6,1,10.9473,8.52713,3
6,285,5,-13,5
6,289,-4,-9,7
6,21,12,8,3
6,305,-1,-2,7
6,137,14,-13,0
6,33,-49,-1,4
6,5,3,-17,5
6,229,-7,-7,2
6,281,11,9,3
6,65,13,0,7
6,349,10,10,3
6,417,10,4,7
6,265,13,10,3
6,317,5.78758,-1.16566,7
6,185,10.4727,-6.82711,7
6,297,16,-2,0
6,293,17,19,3
6,101,13,11,3
6,17,-6.90103,11.7833,1
6,249,1.14768,-0.222549,7
6,413,0,-11,5
