x,y,color,centroid_x,centroid_y
-45,13,0,-50,-50
-45,14,4,-23.5561,16.2664
-45,15,0,-50,-50
-45,16,0,-50,-50
-45,17,4,-23.5561,16.2664
-45,18,0,-50,-50
-45,19,0,-50,-50
-45,20,0,-50,-50
-45,21,0,-50,-50
-45,22,0,-50,-50
-45,23,4,-23.5561,16.2664
-45,24,4,-23.5561,16.2664
-45,25,0,-50,-50
-45,26,0,-50,-50
-45,27,0,-50,-50
-45,28,4,-23.5561,16.2664
-45,29,0,-50,-50
-45,30,0,-50,-50
-45,31,0,-50,-50
-45,32,0,-50,-50
-45,33,0,-50,-50
-45,34,0,-50,-50
-45,35,0,-50,-50
-45,36,0,-50,-50
-45,37,0,-50,-50
-45,38,0,-50,-50
-45,39,0,-50,-50
-45,40,0,-50,-50
-45,41,0,-50,-50
-45,42,4,-23.5561,16.2664
-45,43,0,-50,-50
-45,44,0,-50,-50
-45,45,0,-50,-50
-45,46,0,-50,-50
-45,47,0,-50,-50
-45,48,0,-50,-50
-45,49,0,-50,-50
-44,-49,0,-50,-50
-44,-48,0,-50,-50
-44,-47,0,-50,-50
-44,-46,0,-50,-50
-44,-45,0,-50,-50
-44,-44,0,-50,-50
-44,-43,0,-50,-50
-44,-42,0,-50,-50
-44,-41,0,-50,-50
-44,-40,0,-50,-50
-44,-39,0,-50,-50
-44,-38,0,-50,-50
-44,-37,0,-50,-50
-44,-36,0,-50,-50
-44,-35,0,-50,-50
-44,-34,0,-50,-50
-44,-33,0,-50,-50
-44,-32,0,-50,-50
-44,-31,0,-50,-50
-44,-30,0,-50,-50
-44,-29,0,-50,-50
-44,-28,0,-50,-50
-44,-27,0,-50,-50
-44,-26,0,-50,-50
-44,-25,0,-50,-50
-44,-24,0,-50,-50
-44,-23,0,-50,-50
-44,-22,0,-50,-50
-44,-21,0,-50,-50
-44,-20,0,-50,-50
-44,-19,0,-50,-50
-44,-18,0,-50,-50
-44,-17,0,-50,-50
-44,-16,0,-50,-50
-44,-15,0,-50,-50
-44,-14,0,-50,-50
-44,-13,0,-50,-50
-44,-12,0,-50,-50
-44,-11,0,-50,-50
-44,-10,0,-50,-50
-44,-9,0,-50,-50
-44,-8,0,-50,-50
-44,-7,0,-50,-50
-44,-6,0,-50,-50
-44,-5,4,-23.5561,16.2664
-44,-4,0,-50,-50
-44,-3,0,-50,-50
-44,-2,0,-50,-50
-44,-1,0,-50,-50
-44,0,0,-50,-50
-44,1,4,-23.5561,16.2664
-44,2,0,-50,-50
-44,3,0,-50,-50
-44,4,0,-50,-50
-44,5,0,-50,-50
-44,6,0,-50,-50
-44,7,0,-50,-50
-44,8,0,-50,-50
-44,9,0,-50,-50
-44,10,0,-50,-50
-44,11,4,-23.5561,16.2664
-44,12,0,-50,-50
-44,13,0,-50,-50
-44,14,0,-50,-50
-44,15,0,-50,-50
-44,16,0,-50,-50
-44,17,0,-50,-50
-44,18,4,-23.5561,16.2664
-44,19,4,-23.5561,16.2664
-44,20,0,-50,-50
-44,21,0,-50,-50
-44,22,0,-50,-50
-44,23,4,-23.5561,16.2664
-44,24,0,-50,-50
-44,25,0,-50,-50
-44,26,0,-50,-50
-44,27,0,-50,-50
-44,28,0,-50,-50
