236,A337,14,12.0,8.0
237,A338,12,12.0,2.0
238,Ex004,0,12.0,9.0
239,Ex013,0,13.0,5.0
240,Ex030,0,16.0,-12.0
241,Ex043,2,-13.0,-19.0
242,Ex047,9,14.0,-13.0
243,OUT005,15,12.0,9.0
244,OUT007,0,10.0,9.0
245,OUT012,16,0.0,-19.0
246,OUT015,6,15.0,-11.0
247,OUT016,0,11.0,5.0
248,OUT019,23,12.0,8.0
249,OUT020,2,-4.0,-2.0
250,OUT022,0,5.0,12.0
251,OUT027,6,13.0,-13.0
252,OUT031,4,-46.0,4.0
253,OUT032,0,13.0,-11.0
254,OUT033,6,15.0,-13.0
255,OUT042,0,-8.0,21.0
256,OUT043,2,1.0,10.0
257,OUT048,3,3.0,-1.0
258,OUT052,0,12.0,-13.0
259,OUT055,14,6.0,0.0
260,OUT061,8,15.0,-11.0
261,OUT065,0,14.0,-12.0
262,OUT066,0,3.0,8.0
263,OUT069,11,5.0,-14.0
264,OUT070,18,-8.0,5.0
265,OUT074,13,13.0,10.0
266,OUT075,7,9.0,7.0
267,OUT076,15,13.0,11.0
268,OUT077,12,8.0,0.0
269,OUT080,7,-14.0,12.0
270,OUT082,14,11.0,6.0
271,OUT085,17,7.0,3.0
272,OUT087,15,8.0,7.0
273,OUT096,15,13.0,11.0
274,OUT099,20,6.0,2.0
275,OUT100,20,-8.0,-5.0
276,OUT103,16,10.0,6.0
277,OUT107,16,-4.0,-14.0
278,OUT108,20,11.0,10.0
279,OUT110,15,-4.0,-14.0
280,OUT111,17,11.0,20.0
281,OUT112,21,11.0,9.0
282,OUT114,17,9.0,8.0
283,OUT121,11,16.0,10.0
284,OUT125,1,6.0,-17.0
285,OUT129,7,5.0,-13.0
286,OUT136,14,7.0,-1.0
287,OUT137,9,7.0,-3.0
288,OUT141,13,12.0,8.0
289,OUT144,8,-4.0,-9.0
290,OUT145,10,2.0,-9.0
291,OUT146,18,12.0,8.0
292,OUT148,15,12.0,8.0
293,OUT149,14,17.0,19.0
294,OUT150,9,13.0,5.0
295,OUT151,8,16.0,3.0
296,OUT152,16,13.0,11.0
297,OUT154,8,16.0,-2.0
298,OUT157,15,12.0,7.0
299,OUT163,9,11.0,0.0
300,OUT164,7,12.0,6.0
301,OUT171,4,10.0,16.0
302,OUT180,13,-4.0,-14.0
303,OUT181,10,14.0,-13.0
304,OUT183,9,12.0,5.0
305,OUT184,9,-1.0,-2.0
306,OUT185,13,1.0,-3.0
307,OUT186,6,13.0,5.0
308,OUT190,16,5.0,-7.0
309,OUT192,15,-10.0,-10.0
310,OUT193,10,-27.0,-8.0
311,OUT194,12,-27.0,-8.0
312,OUT199,11,17.0,-15.0
313,OUT203,10,-12.0,13.0
314,OUT210,4,-6.0,-6.0
315,OUT213,0,28.0,1.0
316,OUT214,0,-5.0,-17.0
317,OUT217,0,12.0,-6.0
318,OUT220,22,-4.0,-14.0
319,OUT221,9,-3.0,17.0
320,OUT222,6,11.0,-4.0
321,OUT223,0,12.0,-4.0
322,OUT228,1,-17.0,0.0
323,OUT230,19,2.0,20.0
324,OUT235,0,9.0,-1.0
325,OUT245,7,16.0,-1.0
326,OUT246,8,12.0,0.0
327,OUT247,10,-15.0,9.0
328,OUT248,1,8.0,15.0
329,OUT251,0,8.0,-26.0
330,OUT252,8,-5.0,-17.0
331,OUT255,12,7.0,15.0
332,OUT257,4,-23.0,-8.0
333,OUT258,3,7.0,17.0
334,OUT261,2,-23.0,-8.0
335,OUT263,0,28.0,0.0
336,OUT265,8,-1.0,-8.0
337,OUT267,2,12.0,15.0
338,OUT270,13,-6.0,-16.0
339,OUT272,9,-16.0,1.0
340,OUT275,0,-7.0,17.0
341,OUT276,8,11.0,-20.0
342,OUT280,0,-15.0,3.0
343,OUT281,3,11.0,19.0
344,OUT283,13,16.0,0.0
345,OUT284,8,-4.0,2.0
346,OUT285,1,4.0,6.0
347,OUT293,17,12.0,6.0
348,OUT294,18,8.0,-6.0
349,OUT296,15,10.0,10.0
